"","feature","effect","sig"
"1","BMP4",0.582005511884725,1.12142281631268
"2","OGDHL",0.585714374113323,2.52079367904442
"3","TJP3",0.587248188353096,1.64844166574359
"4","CSAG1",0.587803598126102,1.11522361233251
"5","KREMEN1",0.589463707184743,2.90757057865512
"6","ARHGEF16",0.591401327270591,1.83614638574788
"7","HID1",0.595703189221603,1.56220992133538
"8","SOX13",0.598628112617923,2.36576504927734
"9","KRT14",0.598970155446128,1.19608572206629
"10","DLL3",0.603585627278485,2.63435362338052
"11","DDC",0.606295346938222,1.79682957069767
"12","PHGR1",0.607285536557532,1.73563902897135
"13","LLGL2",0.607627628180961,1.61491771635597
"14","EFNA3",0.607784302823643,4.35913057738177
"15","IRF6",0.608232580029467,1.33867661495087
"16","CKMT1A",0.608237082243713,1.37473102213829
"17","LGMN",0.609774120303704,2.75381254411472
"18","MAGEA12",0.611769104444792,1.13869288479738
"19","AXIN2",0.615271671963717,1.79899440371294
"20","PPP1R1B",0.615515652743465,1.62388063127552
"21","CKMT1B",0.615699235354941,1.41256907259727
"22","SYNE2",0.616509089502544,3.56841829221023
"23","ELL3",0.616604111073455,2.64739811664137
"24","PODXL2",0.619756094960336,1.74511948772131
"25","EFHD1",0.623862658925295,1.62612716390235
"26","IQANK1",0.628747284017649,1.48432213625788
"27","ARHGAP8",0.630985579053267,1.63421736268023
"28","SLC29A2",0.631234418548676,2.50881189559015
"29","MAPK15",0.63173355511094,2.63550784931099
"30","NEFH",0.633424114384605,2.36385884737343
"31","HSD17B8",0.636188712774503,3.2559628630313
"32","PIR",0.642370293341533,2.68291529972548
"33","H4C15",0.644034605165475,4.12806168721916
"34","MAGEA2",0.648189551589004,1.33477106595601
"35","NDRG2",0.651016708513217,2.27773184181678
"36","PROM1",0.653866511798464,2.11911563831418
"37","JAG2",0.65478846484729,1.86840324314635
"38","CRB3",0.654872992469939,1.50564846695537
"39","PLEKHH1",0.65522890173716,3.1548143353614
"40","RIPK4",0.655885935084235,2.15933094905657
"41","FOS",0.660178803469207,1.40108421130295
"42","ZNF595",0.663158097679437,2.13048601641664
"43","TNNC1",0.66378521753368,1.84118925877815
"44","ABLIM1",0.668047831694061,2.25934090709471
"45","IFI30",0.67318850393851,1.90606509995027
"46","FOCAD",0.673509974815074,6.59551303126427
"47","DLG3",0.674113338819322,3.23634919628083
"48","GJB1",0.676414018463946,1.99591063112324
"49","GRB7",0.67684008035999,1.57777609671069
"50","NPTX2",0.679490865042285,2.89921767671852
"51","FXYD3",0.680954749274296,0.818764606076689
"52","SFN",0.682706494551044,0.985866615285082
"53","C1orf115",0.685853497694872,3.27070017278029
"54","FAM83H",0.688209819961039,2.04829454909943
"55","GSTA4",0.690618304726574,2.6525707189919
"56","RBM47",0.695107651911527,1.91007640593074
"57","RAB17",0.697221318338635,1.99075032633725
"58","ELF3",0.697342012732049,1.0185240696223
"59","ID4",0.699025081952427,1.93245258658582
"60","ZSCAN18",0.702592996756525,1.73030061666277
"61","LAD1",0.714996938274337,1.29819100323935
"62","ID2",0.715184091541631,1.96790154122282
"63","EPCAM",0.718943857788958,0.914952936350221
"64","EPHX2",0.718973515486824,3.510857130216
"65","MYH14",0.720997185687656,1.70886217286724
"66","TES",0.73378655940893,2.07068841238698
"67","CALB1",0.739100923207818,2.13925694146878
"68","HSD11B2",0.743530089442571,3.6310990576027
"69","LRATD2",0.748990209952832,1.85534543638005
"70","HR",0.752196142042433,2.51099190923201
"71","CLDN3",0.762981382823194,1.69864726556605
"72","RAB11FIP4",0.776455588397164,3.81994068375224
"73","CDH1",0.780757697038277,1.24727735950952
"74","PRKCZ",0.786772130503071,3.96831907390566
"75","MAGEA4",0.798305925188409,1.60953701281193
"76","YBX2",0.800664633358339,2.97633726783626
"77","GPC3",0.805016320728385,2.68396011146054
"78","TPD52",0.805867720211039,3.85741805030861
"79","CXADR",0.807481284620028,3.41999925465301
"80","SLC7A8",0.821766745169104,2.43884976620859
"81","TPD52L1",0.826174475767427,1.88395769195852
"82","DSP",0.838189458682774,1.87013220673333
"83","HOOK1",0.839212168249297,3.20055994244132
"84","LARGE2",0.840562824891052,3.38074209365057
"85","MAGEA6",0.848718526334461,1.56769270797219
"86","MAL2",0.861182769246283,1.33317401028758
"87","RNF43",0.867465225355855,3.35939914773989
"88","ERBB3",0.873973659546601,2.22769908454942
"89","FGFR4",0.890986923629578,3.12972840077586
"90","EFNA1",0.90726119855881,3.18525760692502
"91","LSR",0.929311181947425,2.14100070839967
"92","OLFM2",0.932353684260788,3.80358703376512
"93","PRODH",0.996887363299149,4.02941627775477
"94","MAGEA3",1.02122756287149,1.93854685130665
"95","KLHL9",1.11795383982744,14.9926461551815
"96","ASS1",1.17525859533028,2.9155013606858
"97","TSTD1",1.39834000545863,4.03241321280232
"98","CDKN2B",2.18364240166745,17.5116382047656
